"시점","월별(1)","발전원별(1)",발전원별(2),발전원별(3),데이터
"2017","4월","사업자(종합)",복합화력,소계,6366272
"2017","4월","사업자(종합)",원자력,소계,13301538
"2017","4월","사업자(종합)",신재생,소계,2047508
"2017","4월","사업자(종합)",집단,소계,2563307
"2017","4월","사업자(종합)",내연력,소계,49775
"2017","4월","상용자가",한전구입,소계,11829
"2017","4월","총발전량",사업자+한전구입,소계,42021612
"2017","5월","한전 및 자회사",소계,소계,33996468
"2017","5월","한전 및 자회사",수력,소계,457306
"2017","5월","한전 및 자회사",수력,일반,78128
"2017","5월","한전 및 자회사",수력,양수,367704
"2017","5월","한전 및 자회사",수력,소수력,11474
"2017","5월","한전 및 자회사",기력,소계,17575225
"2017","5월","한전 및 자회사",기력,무연탄,405831
"2017","5월","한전 및 자회사",기력,유연탄,17024443
"2017","5월","한전 및 자회사",기력,중유,144951
"2017","5월","한전 및 자회사",복합화력,소계,1733530
"2017","5월","한전 및 자회사",원자력,소계,13670032
"2017","5월","한전 및 자회사",신재생,소계,218199
"2017","5월","한전 및 자회사",집단,소계,280297
"2017","5월","한전 및 자회사",내연력,소계,61880
"2017","5월","타사",소계,소계,8818159
"2017","5월","타사",수력,소계,149121
"2017","5월","타사",수력,일반,114853
"2017","5월","타사",수력,소수력,34268
"2017","5월","타사",기력,유연탄,252005
"2017","5월","타사",복합화력,소계,4671241
"2017","5월","타사",신재생,소계,1899834
"2017","5월","타사",집단,소계,1845958
"2017","5월","사업자(종합)",소계,소계,42814627
"2017","5월","사업자(종합)",수력,소계,606427
"2017","5월","사업자(종합)",수력,일반,192981
"2017","5월","사업자(종합)",수력,양수,367704
"2017","5월","사업자(종합)",수력,소수력,45743
"2017","5월","사업자(종합)",기력,소계,17827229
"2017","5월","사업자(종합)",기력,무연탄,405831
"2017","5월","사업자(종합)",기력,유연탄,17276448
"2017","5월","사업자(종합)",기력,중유,144951
"2017","5월","사업자(종합)",복합화력,소계,6404771
"2017","5월","사업자(종합)",원자력,소계,13670032
"2017","5월","사업자(종합)",신재생,소계,2118033
